HIND6363511,Golmaal is one of the funniest movies.,1
HIND6363511,Golmaal is one between the funniest movies.,1
HIND6363511,Golmaal is one of the funny movies.,1
HIND6363511,Golmaal is first of the funniest movies.,1
HIND6376394,I am feel better.,4
HIND6376394,I do feeling better.,4
HIND6376394,I will feel better.,4
HIND6376394,I am feeling better.,4
HIND6381348,I am still feeling a bit under the weather.,1
HIND6381348,I am still feel a bit under the weather.,1
HIND6381348,I do still feeling a bit under the weather.,1
HIND6381348,I am steal feeling a bit under the weather.,1
HIND6394076,Take care of yourself.,1
HIND6394076,Take care of your.,1
HIND6394076,Take care of you.,1
HIND6394076,Takes care of yourself.,1
HIND6417510,I hearded you got a new job. That's great news!,2
HIND6417510,I heard you got a new job. That's great news!,2
HIND6417510,I heared you got a new job. That's great news!,2
HIND6417510,I heard you are get a new job. That's great news!,2
HIND6424525,Are you sleep?,2
HIND6424525,Are you sleeping?,2
HIND6424525,Do you sleeping?,2
HIND6424525,Is you sleeping?,2
HIND6426075,They will going inside.,4
HIND6426075,They go inside.,4
HIND6426075,They were not going inside.,4
HIND6426075,They are not going inside.,4
HIND6427668,The kite doesn't fly in the sky.,3
HIND6427668,The kite will not flying in the sky.,3
HIND6427668,The kite is not flying in the sky.,3
HIND6427668,The kite not flying in the sky.,3
HIND6456994,I am coming home next week.,1
HIND6456994,I going to come home next week.,1
HIND6456994,I coming home next week.,1
HIND6456994,I am come home next week.,1
HIND6458494,We are coming to eat pizza tonight.,4
HIND6458494,We eat pizza tonight.,4
HIND6458494,We go to eat pizza tonight.,4
HIND6458494,We are going to eat pizza tonight.,4
HIND6459702,Are you go shopping tomorrow?,3
HIND6459702,Will you are go shopping tomorrow?,3
HIND6459702,Are you going shopping tomorrow?,3
HIND6459702,Do you going shopping tomorrow?,3
HIND6461037,I am going to study all day.,1
HIND6461037,I go to study all day.,1
HIND6461037,I will going to study all day.,1
HIND6461037,I goes to study all day.,1
HIND6517435,I want to apply for a leave.,1
HIND6517435,I want to application for a leave.,1
HIND6517435,I am want to apply for a leave.,1
HIND6517435,I am like to apply for a leave.,1
HIND6520309,I am to attend a cousin's wedding.,3
HIND6520309,I go to attend a cousin's wedding.,3
HIND6520309,I have to attend a cousin's wedding.,3
HIND6520309,I attend a cousin's wedding.,3
HIND6521999,I can't come to the office today because I have a fever.,1
HIND6521999,I don't come to the office today because I have a fever.,1
HIND6521999,I am not come to the office today because I have a fever.,1
HIND6521999,I do not have to come to the office today because I have a fever.,1
HIND6547312,Please have a packet of sugar.,4
HIND6547312,Please gets a packet of sugar.,4
HIND6547312,Please to get a packet of sugar.,4
HIND6547312,Please get a packet of sugar.,4
HIND6549658,We all will go for a movie.,1
HIND6549658,We all will come for a movie.,1
HIND6549658,We all will get for a movie.,1
HIND6549658,We all will have for a movie.,1
HIND6551552,I don't like to having rice for lunch.,2
HIND6551552,I don't like to have rice for lunch.,2
HIND6551552,I don't like to do have rice for lunch.,2
HIND6551552,I don't like to having rice for lunch.,2
HIND6553235,"When I go home, I am going to have pizza.",1
HIND6553235,"When I goes home, I am going to have pizza.",1
HIND6553235,"When I have home, I am going to have pizza.",1
HIND6553235,"When I going home, I am going to have pizza.",1
HIND6574461,I like to sleep in the afternoon.,1
HIND6574461,I like to sleep on the afternoon.,1
HIND6574461,I like to sleep at the afternoon.,1
HIND6574461,I like to sleep into the afternoon.,1
HIND6601420,Neha is studying at Delhi University.,1
HIND6601420,Neha is studying to Delhi University.,1
HIND6601420,Neha is studying for Delhi University.,1
HIND6601420,Neha is studying on Delhi University.,1
HIND6602733,You can come from my place.,2
HIND6602733,You can come to my place.,2
HIND6602733,You can come in my place.,2
HIND6602733,You can come on my place.,2
HIND6603987,We arrived on our hotel at 5 o'clock,2
HIND6603987,We arrived at our hotel at 5 o'clock,2
HIND6603987,We arrived from our hotel at 5 o'clock,2
HIND6603987,We arrived to our hotel at 5 o'clock,2
HIND6605295,Tony was sent on the head teacher's office.,4
HIND6605295,Tony was sent from the head teacher's office.,4
HIND6605295,Tony was sent at the head teacher's office.,4
HIND6605295,Tony was sent to the head teacher's office.,4
HIND6606524,He is on my place.,2
HIND6606524,He is at my place.,2
HIND6606524,He is in my place.,2
HIND6606524,He is to my place.,2
HIND6623516,We play volleyball and basketball.,1
HIND6623516,We play volleyball or basketball.,1
HIND6623516,We play volleyball but basketball.,1
HIND6623516,We play volleyball so basketball.,1
HIND6625039,I go swimming or do yoga.,3
HIND6625039,I go swimming so do yoga.,3
HIND6625039,I go swimming and do yoga.,3
HIND6625039,I go swimming but do yoga.,3
HIND6627626,I can drive or I can't swim.,2
HIND6627626,I can drive but I can't swim.,2
HIND6627626,I can drive and I can't swim.,2
HIND6627626,I can drive so I can't swim.,2
HIND6628994,I like to play tennis and I don't like watching it.,4
HIND6628994,I like to play tennis so I don't like watching it.,4
HIND6628994,I like to play tennis or I don't like watching it.,4
HIND6628994,I like to play tennis but I don't like watching it.,4
HIND6631462,Would you like to stay at home so go out?,4
HIND6631462,Would you like to stay at home but go out?,4
HIND6631462,Would you like to stay at home and go out?,4
HIND6631462,Would you like to stay at home or go out?,4
